162	27	should	0.0010115	0.163863
163	27	seemed	0.0010115	0.164875
164	27	poor	0.0010115	0.165886
165	27	make	0.0010115	0.166898
166	27	good	0.0010115	0.167909
167	27	going	0.0010115	0.168921
168	27	caterpillar	0.0010115	0.169932
169	26	without	0.000974038	0.164612
170	26	upon	0.000974038	0.165586
171	26	too	0.000974038	0.166561
172	26	course	0.000974038	0.167535
173	25	yet	0.000936575	0.162027
174	25	while	0.000936575	0.162964
175	25	soon	0.000936575	0.163901
176	25	shall	0.000936575	0.164837
177	25	rather	0.000936575	0.165774
178	25	away	0.000936575	0.16671
179	24	won't	0.000899112	0.160941
180	24	took	0.000899112	0.16184
181	24	there's	0.000899112	0.162739
182	24	than	0.000899112	0.163638
183	24	sure	0.000899112	0.164538
184	24	same	0.000899112	0.165437
185	23	you're	0.000861649	0.159405
186	23	half	0.000861649	0.160267
187	23	felt	0.000861649	0.161128
188	23	added	0.000861649	0.16199
189	22	take	0.000824186	0.155771
190	22	jury	0.000824186	0.156595
191	22	getting	0.000824186	0.15742
192	22	another	0.000824186	0.158244
193	21	words	0.000786723	0.151838
194	21	wish	0.000786723	0.152624
195	21	till	0.000786723	0.153411
196	21	minute	0.000786723	0.154198
197	21	hand	0.000786723	0.154984
198	21	find	0.000786723	0.155771
199	21	ever	0.000786723	0.156558
200	20	sort	0.00074926	0.149852
201	20	however	0.00074926	0.150601
202	20	cried	0.00074926	0.151351
203	20	anything	0.00074926	0.1521
204	19	tried	0.000711797	0.145207
205	19	tea	0.000711797	0.145918
206	19	please	0.000711797	0.14663
207	19	old	0.000711797	0.147342
208	19	feet	0.000711797	0.148054
209	19	even	0.000711797	0.148766
210	19	curious	0.000711797	0.149477
211	19	being	0.000711797	0.150189
212	18	wonder	0.000674334	0.142959
213	18	use	0.000674334	0.143633
214	18	table	0.000674334	0.144307
215	18	soup	0.000674334	0.144982
216	18	something	0.000674334	0.145656
217	18	house	0.000674334	0.14633
218	18	enough	0.000674334	0.147005
219	18	end	0.000674334	0.147679
220	18	eat	0.000674334	0.148354
221	18	court	0.000674334	0.149028
222	17	talking	0.000636871	0.141385
223	17	spoke	0.000636871	0.142022
224	17	side	0.000636871	0.142659
225	17	sat	0.000636871	0.143296
226	17	question	0.000636871	0.143933
227	17	perhaps	0.000636871	0.14457
228	17	let	0.000636871	0.145207
229	17	asked	0.000636871	0.145843
230	16	under	0.000599408	0.137864
231	16	turned	0.000599408	0.138463
232	16	ran	0.000599408	0.139063
233	16	indeed	0.000599408	0.139662
234	16	high	0.000599408	0.140261
235	16	hastily	0.000599408	0.140861
236	16	garden	0.000599408	0.14146
237	16	doesn't	0.000599408	0.14206
238	16	bit	0.000599408	0.142659
239	15	speak	0.000561945	0.134305
240	15	seen	0.000561945	0.134867
241	15	saying	0.000561945	0.135429
242	15	near	0.000561945	0.135991
243	15	mad	0.000561945	0.136553
244	15	low	0.000561945	0.137115
245	15	idea	0.000561945	0.137677
246	15	gave	0.000561945	0.138238
247	15	face	0.000561945	0.1388
248	15	done	0.000561945	0.139362
249	15	called	0.000561945	0.139924
250	15	because	0.000561945	0.140486
251	15	arm	0.000561945	0.141048
252	15	am	0.000561945	0.14161
253	15	air	0.000561945	0.142172
254	14	us	0.000524482	0.133218
255	14	trying	0.000524482	0.133743
256	14	through	0.000524482	0.134267
257	14	these	0.000524482	0.134792
258	14	talk	0.000524482	0.135316
259	14	suppose	0.000524482	0.135841
260	14	silence	0.000524482	0.136365
261	14	set	0.000524482	0.13689
262	14	sea	0.000524482	0.137414
263	14	saw	0.000524482	0.137939
264	14	remember	0.000524482	0.138463
265	14	ought	0.000524482	0.138988
266	14	left	0.000524482	0.139512
267	14	knew	0.000524482	0.140037
268	14	itself	0.000524482	0.140561
269	14	hear	0.000524482	0.141086
270	14	didn't	0.000524482	0.14161
271	14	change	0.000524482	0.142135
272	14	certainly	0.000524482	0.142659
273	14	both	0.000524482	0.143184
274	14	better	0.000524482	0.143708
275	14	beginning	0.000524482	0.144233
276	14	baby	0.000524482	0.144757
277	14	anxiously	0.000524482	0.145282
278	13	yes	0.000487019	0.135391
279	13	wouldn't	0.000487019	0.135878
280	13	whole	0.000487019	0.136365
281	13	where	0.000487019	0.136852
282	13	used	0.000487019	0.137339
283	13	they're	0.000487019	0.137826
284	13	suddenly	0.000487019	0.138313
285	13	still	0.000487019	0.1388
286	13	size	0.000487019	0.139287
287	13	room	0.000487019	0.139774
288	13	really	0.000487019	0.140261
289	13	people	0.000487019	0.140749
290	13	may	0.000487019	0.141236
291	13	kept	0.000487019	0.141723
292	13	grow	0.000487019	0.14221
293	13	gone	0.000487019	0.142697
294	13	footman	0.000487019	0.143184
295	13	far	0.000487019	0.143671
296	13	dodo	0.000487019	0.144158
297	13	dance	0.000487019	0.144645
298	13	cook	0.000487019	0.145132
299	13	close	0.000487019	0.145619
300	13	cats	0.000487019	0.146106
301	13	bill	0.000487019	0.146593
302	13	behind	0.000487019	0.14708
303	13	begin	0.000487019	0.147567
304	13	beautiful	0.000487019	0.148054
305	13	always	0.000487019	0.148541
306	12	turning	0.000449556	0.137564
307	12	try	0.000449556	0.138014
308	12	queer	0.000449556	0.138463
309	12	pigeon	0.000449556	0.138913
310	12	many	0.000449556	0.139362
311	12	majesty	0.000449556	0.139812
312	12	life	0.000449556	0.140261
313	12	hardly	0.000449556	0.140711
314	12	hands	0.000449556	0.141161
315	12	give	0.000449556	0.14161
316	12	game	0.000449556	0.14206
317	12	finished	0.000449556	0.142509
318	12	everything	0.000449556	0.142959
319	12	every	0.000449556	0.143408
320	12	deal	0.000449556	0.143858
321	12	chapter	0.000449556	0.144307
322	12	best	0.000449556	0.144757
323	12	among	0.000449556	0.145207
324	12	alice's	0.000449556	0.145656
325	12	afraid	0.000449556	0.146106
326	11	whether	0.000412093	0.134342
327	11	wasn't	0.000412093	0.134754
328	11	waited	0.000412093	0.135167
329	11	turn	0.000412093	0.135579
330	11	though	0.000412093	0.135991
331	11	thinking	0.000412093	0.136403
332	11	tears	0.000412093	0.136815
333	11	read	0.000412093	0.137227
334	11	pool	0.000412093	0.137639
335	11	pig	0.000412093	0.138051
336	11	nearly	0.000412093	0.138463
337	11	minutes	0.000412093	0.138875
338	11	mind	0.000412093	0.139287
339	11	makes	0.000412093	0.1397
340	11	keep	0.000412093	0.140112
341	11	i'd	0.000412093	0.140524
342	11	hurry	0.000412093	0.140936
343	11	hurried	0.000412093	0.141348
344	11	growing	0.000412093	0.14176
345	11	gloves	0.000412093	0.142172
346	11	glad	0.000412093	0.142584
347	11	else	0.000412093	0.142996
348	11	dinah	0.000412093	0.143408
349	11	child	0.000412093	0.14382
350	11	book	0.000412093	0.144233
351	11	ask	0.000412093	0.144645
352	10	yourself	0.00037463	0.13187
353	10	you'd	0.00037463	0.132244
354	10	word	0.00037463	0.132619
355	10	witness	0.00037463	0.132994
356	10	walked	0.00037463	0.133368
357	10	those	0.00037463	0.133743
358	10	soldiers	0.00037463	0.134118
359	10	small	0.00037463	0.134492
360	10	sitting	0.00037463	0.134867
361	10	sight	0.00037463	0.135241
362	10	rest	0.00037463	0.135616
363	10	repeated	0.00037463	0.135991
364	10	remarked	0.00037463	0.136365
365	10	remark	0.00037463	0.13674
366	10	party	0.00037463	0.137115
